Age,Attrition,BusinessTravel,Department,DistanceFromHome,Education,EducationField,EmployeeCount,EnvironmentSatisfaction,Gender,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,NumCompaniesWorked,Over18,PercentSalaryHike,PerformanceRating,StandardHours,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsSinceLastPromotion,YearsWithCurrManager,Age_group
51,No,Travel_Rarely,Sales,6,2,Life Sciences,1,3.0,Female,3,1,Healthcare Representative,4.0,Married,131160,1.0,Y,11,3,8,0,1.0,6,2.0,1,0,0,51-60
31,Yes,Travel_Frequently,Research & Development,10,1,Life Sciences,1,3.0,Female,2,1,Research Scientist,2.0,Single,41890,0.0,Y,23,4,8,1,6.0,3,4.0,5,1,4,31-40
32,No,Travel_Frequently,Research & Development,17,4,Other,1,2.0,Male,3,4,Sales Executive,2.0,Married,193280,1.0,Y,15,3,8,3,5.0,2,1.0,5,0,3,31-40
38,No,Non-Travel,Research & Development,2,5,Life Sciences,1,4.0,Male,2,3,Human Resources,4.0,Married,83210,3.0,Y,11,3,8,3,13.0,5,3.0,8,7,5,31-40
32,No,Travel_Rarely,Research & Development,10,1,Medical,1,4.0,Male,3,1,Sales Executive,1.0,Single,23420,4.0,Y,12,3,8,2,9.0,2,3.0,6,0,4,31-40
46,No,Travel_Rarely,Research & Development,8,3,Life Sciences,1,3.0,Female,3,4,Research Director,2.0,Married,40710,3.0,Y,13,3,8,0,28.0,5,2.0,7,7,7,41-50
28,Yes,Travel_Rarely,Research & Development,11,2,Medical,1,1.0,Male,3,2,Sales Executive,3.0,Single,58130,2.0,Y,20,4,8,1,5.0,2,1.0,0,0,0,21-30
29,No,Travel_Rarely,Research & Development,18,3,Life Sciences,1,1.0,Male,3,2,Sales Executive,2.0,Married,31430,2.0,Y,22,4,8,3,10.0,2,3.0,0,0,0,21-30
31,No,Travel_Rarely,Research & Development,1,3,Life Sciences,1,2.0,Male,3,3,Laboratory Technician,4.0,Married,20440,0.0,Y,21,4,8,0,10.0,2,3.0,9,7,8,31-40
25,No,Non-Travel,Research & Development,7,4,Medical,1,2.0,Female,3,4,Laboratory Technician,1.0,Divorced,134640,1.0,Y,13,3,8,1,6.0,2,3.0,6,1,5,21-30
45,No,Travel_Rarely,Research & Development,17,2,Medical,1,3.0,Male,2,2,Laboratory Technician,4.0,Married,79910,0.0,Y,13,3,8,2,21.0,2,3.0,20,4,10,41-50
36,No,Travel_Rarely,Research & Development,28,1,Life Sciences,1,,Male,3,1,Laboratory Technician,4.0,Married,33770,0.0,Y,12,3,8,2,16.0,2,3.0,15,10,11,31-40
55,No,Travel_Rarely,Research & Development,14,4,Life Sciences,1,4.0,Female,3,1,Sales Executive,1.0,Single,55380,0.0,Y,17,3,8,0,37.0,2,3.0,36,4,13,51-60
47,Yes,Non-Travel,Research & Development,1,1,Medical,1,1.0,Male,2,1,Research Scientist,2.0,Married,57620,1.0,Y,11,3,8,2,10.0,4,2.0,10,9,9,41-50
28,No,Travel_Rarely,Research & Development,1,3,Life Sciences,1,4.0,Male,3,1,Manufacturing Director,4.0,Married,25920,1.0,Y,14,3,8,0,5.0,2,2.0,5,0,4,21-30
37,No,Travel_Rarely,Research & Development,1,3,Life Sciences,1,3.0,Male,3,2,Healthcare Representative,4.0,Married,53460,4.0,Y,11,3,8,0,7.0,2,4.0,5,0,1,31-40
21,No,Travel_Rarely,Research & Development,3,2,Life Sciences,1,4.0,Male,2,1,Laboratory Technician,3.0,Single,42130,1.0,Y,12,3,8,3,3.0,3,4.0,3,1,0,21-30
37,No,Non-Travel,Research & Development,1,3,Medical,1,1.0,Male,3,2,Sales Executive,4.0,Divorced,41270,2.0,Y,13,3,8,1,15.0,2,3.0,5,0,2,31-40
35,No,Travel_Rarely,Sales,7,4,Life Sciences,1,2.0,Male,2,1,Sales Representative,2.0,Divorced,24380,7.0,Y,16,3,8,0,10.0,5,2.0,7,6,2,31-40
38,No,Travel_Rarely,Research & Development,8,3,Life Sciences,1,1.0,Female,3,1,Manager,1.0,Divorced,68700,1.0,Y,11,3,8,1,8.0,5,3.0,8,7,7,31-40
26,No,Travel_Frequently,Research & Development,1,4,Other,1,3.0,Male,3,2,Laboratory Technician,2.0,Divorced,104470,1.0,Y,18,3,8,0,6.0,3,1.0,6,1,4,21-30
50,No,Travel_Rarely,Sales,8,4,Life Sciences,1,1.0,Male,2,1,Research Scientist,2.0,Divorced,96670,3.0,Y,23,4,8,0,28.0,2,2.0,10,1,6,41-50
53,No,Travel_Rarely,Research & Development,11,4,Life Sciences,1,3.0,Female,3,2,Research Scientist,3.0,Married,21480,3.0,Y,11,3,8,0,21.0,2,2.0,5,1,3,51-60
42,No,Travel_Rarely,Research & Development,4,4,Life Sciences,1,2.0,Male,1,1,Manufacturing Director,3.0,Married,89260,1.0,Y,14,3,8,0,,4,3.0,20,11,6,41-50
29,No,Travel_Frequently,Research & Development,16,4,Medical,1,2.0,Male,3,1,Laboratory Technician,4.0,Single,65130,1.0,Y,11,3,8,1,10.0,2,2.0,10,0,9,21-30
55,No,Travel_Rarely,Research & Development,1,4,Other,1,2.0,Female,3,1,Research Scientist,4.0,Married,67990,3.0,Y,11,3,8,0,12.0,2,3.0,10,0,8,51-60
26,No,Travel_Frequently,Research & Development,9,3,Life Sciences,1,1.0,Female,3,1,Manager,1.0,Married,162910,1.0,Y,22,4,8,0,5.0,3,3.0,5,3,3,21-30
37,No,Travel_Rarely,Sales,5,1,Marketing,1,4.0,Male,3,1,Research Scientist,4.0,Single,27050,1.0,Y,11,3,8,0,17.0,2,3.0,17,5,7,31-40
44,Yes,Travel_Frequently,Research & Development,1,2,Medical,1,4.0,Male,2,2,Research Scientist,3.0,Divorced,103330,3.0,Y,14,3,8,1,19.0,2,1.0,1,0,0,41-50
38,No,Travel_Rarely,Sales,2,3,Marketing,1,4.0,Female,2,1,Manager,4.0,Divorced,44480,9.0,Y,12,3,8,0,10.0,3,3.0,2,1,2,31-40
26,Yes,Travel_Rarely,Research & Development,4,3,Medical,1,1.0,Male,2,3,Research Scientist,2.0,Divorced,68540,2.0,Y,11,3,8,0,5.0,5,3.0,3,0,2,21-30
28,No,Travel_Rarely,Research & Development,7,3,Other,1,4.0,Male,2,1,Human Resources,4.0,Single,96370,1.0,Y,13,3,8,0,5.0,6,3.0,5,0,2,21-30
49,No,Travel_Frequently,Research & Development,1,1,Medical,1,3.0,Female,3,2,Research Scientist,1.0,Single,35910,9.0,Y,13,3,8,0,22.0,2,3.0,3,1,2,41-50
36,No,Travel_Rarely,Sales,5,3,Technical Degree,1,3.0,Male,3,3,Sales Executive,2.0,Single,54050,4.0,Y,14,3,8,0,10.0,2,3.0,8,7,7,31-40
31,No,Travel_Frequently,Research & Development,9,4,Medical,1,4.0,Male,3,1,Sales Executive,2.0,Divorced,46840,1.0,Y,16,3,8,1,2.0,4,2.0,2,2,2,31-40
26,Yes,Travel_Rarely,Research & Development,8,3,Medical,1,4.0,Male,3,2,Manager,4.0,Single,157870,1.0,Y,12,3,8,2,8.0,5,3.0,8,7,4,21-30
37,No,Travel_Frequently,Sales,9,1,Marketing,1,2.0,Male,3,1,Laboratory Technician,4.0,Married,15140,1.0,Y,14,3,8,0,4.0,3,2.0,4,1,2,31-40
42,No,Travel_Frequently,Sales,2,2,Marketing,1,3.0,Male,3,3,Research Director,2.0,Married,29560,5.0,Y,13,3,8,0,23.0,2,4.0,20,4,8,41-50
18,Yes,Travel_Rarely,Research & Development,1,4,Life Sciences,1,3.0,Male,2,1,Sales Executive,3.0,Single,23350,1.0,Y,14,3,8,2,0.0,3,3.0,0,0,0,10-20
35,No,Travel_Rarely,Sales,20,2,Life Sciences,1,3.0,Male,2,1,Laboratory Technician,2.0,Married,51540,0.0,Y,19,3,8,0,12.0,2,2.0,11,6,9,31-40
36,No,Travel_Frequently,Research & Development,8,3,Other,1,3.0,Female,2,3,Sales Executive,,Married,69620,4.0,Y,12,3,8,2,4.0,2,3.0,1,0,0,31-40
51,No,Travel_Rarely,Research & Development,2,3,Life Sciences,1,4.0,Male,2,2,Laboratory Technician,2.0,Divorced,56750,5.0,Y,13,3,8,0,13.0,2,3.0,4,1,2,51-60
